identity,name,parentid,type,parentnodetype,weight,parentrelation
spring:52,classify,spring:3,term,comprehension,9,indicatorof
spring:53,convert,spring:3,term,comprehension,8,indicatorof
spring:54,defend,spring:3,term,comprehension,9,indicatorof
spring:55,generalized,spring:3,term,comprehension,8,indicatorof
spring:54,example,spring:3,term,comprehension,9,indicatorof
spring:55,indicate,spring:3,term,comprehension,7,indicatorof
spring:56,paraphrase,spring:3,term,comprehension,9,indicatorof
spring:57,predict,spring:3,term,comprehension,8,indicatorof
spring:58,rewrite,spring:3,term,comprehension,8,indicatorof
spring:59,review,spring:3,term,comprehension,8,indicatorof
spring:60,summarize,spring:3,term,comprehension,9,indicatorof
spring:61,tell,spring:3,term,comprehension,4,counterindicatorof
spring:62,outline,spring:3,term,comprehension,5,counterindicatorof
spring:63,recognize,spring:3,term,comprehension,9,indicatorof
spring:64,describe,spring:3,term,comprehension,4,counterindicatorof
spring:65,select,spring:3,term,comprehension,4,counterindicatorof
spring:66,infer,spring:3,term,comprehension,5,counterindicatorof
spring:67,rewrite,spring:3,term,comprehension,6,counterindicatorof
spring:68,apply,spring:4,term,application,9,indicatorof
spring:69,complete,spring:4,term,application,7,indicatorof
